5760 | discord.client | DEBUG | on_ready has successfully been registered as an event
5760 | discord.client | DEBUG | on_command_error has successfully been registered as an event
5760 | asyncio | ERROR | Task exception was never retrieved
future: <Task finished coro=<tick() done, defined at bot.py:36> exception=NameError("name 'asyncio' is not defined",)>
Traceback (most recent call last):
  File "bot.py", line 37, in tick
    await asyncio.sleep(10)
NameError: name 'asyncio' is not defined
5760 | discord.client | INFO | logging in using static token
5760 | discord.http | DEBUG | GET https://discordapp.com/api/v7/users/@me with None has returned 200
5760 | discord.http | DEBUG | GET https://discordapp.com/api/v7/users/@me has received {'username': 'WumpusHack', 'verified': True, 'locale': 'en-US', 'mfa_enabled': True, 'bot': True, 'id': '592803813593841689', 'flags': 0, 'avatar': None, 'discriminator': '3318', 'email': None}
5760 | discord.http | DEBUG | GET https://discordapp.com/api/v7/gateway with None has returned 200
5760 | discord.http | DEBUG | GET https://discordapp.com/api/v7/gateway has received {'url': 'wss://gateway.discord.gg'}
5760 | websockets.protocol | DEBUG | client - state = CONNECTING
5760 | websockets.protocol | DEBUG | client - event = connection_made(<asyncio.sslproto._SSLProtocolTransport object at 0x000001BB2D489240>)
5760 | websockets.protocol | DEBUG | client - state = OPEN
5760 | discord.gateway | INFO | Created websocket connected to wss://gateway.discord.gg?encoding=json&v=6&compress=zlib-stream
5760 | websockets.protocol | DEBUG | client < Frame(fin=True, opcode=2, data=b'x\x9c4\xc9A\n\xc20\x10\x05\xd0\xbb\xfcu"\xa9(\xc2\\\xa5)el\x07\r\xa4i\x99N\x15\t\xb9\xbbn\xdc=x\x15\x06*G\xce\x0e\xfb\x1f\xeb\x06\xea\x82\xc3\x0c\xaax\n\xab\xdd\x85mL\xc5D_\x9cA\x97\xee|\xfd\xfdh\xca\x93\x80z\xf4\x11\x0f6y\xf3\xc7o:\xfb\x85S\xf1v3\x8dp5bI\x93\xae{\x04\x85Sh\x03\x86\xd6\xbe\x00\x00\x00\xff\xff', rsv1=False, rsv2=False, rsv3=False)
5760 | discord.client | DEBUG | Dispatching event socket_raw_receive
5760 | discord.gateway | DEBUG | For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-main-t7tr",{"micros":0.0}]']}}
5760 | discord.client | DEBUG | Dispatching event socket_response
